sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
S01 - T01 Launch application,1,1024,1024,1024,1024,1024,0.0,0.9765625,202.66437530517578
S02 - T01 Launch the application,1,1154,1154,1154,1154,1154,0.0,0.8665511265164644,84.54712548743501
S03 - T01 - Launch,400,439,374,627,298,1453,0.0,1.305866605726225,127.41045568113186
S03 - T02 - Login,400,1554,1300,1935,1021,21812,0.0,1.3055554648919816,20.526994220673146
"S03 - T03 - Click on book ""Ballet""",400,764,592,1154,134,4321,0.0050,1.309281826186291,22.863477731775614
S01 - T02  Login to the application,1,2785,2785,2785,2785,2785,0.0,0.3590664272890485,43.69775302962298
S01 - T03  Click on school admin,1,1415,1415,1415,1415,1415,0.0,0.7067137809187278,5.235479240282685
S02 - T02 Login to the application,1,2846,2846,2846,2846,2846,0.0,0.35137034434293746,6.269078311665496
S02 - T03 Click Search after selecting book,1,516,516,516,516,516,0.0,1.937984496124031,9.05780644379845
S01 - T04  Click Y3 Tab,1,447,447,447,447,447,0.0,2.237136465324385,47.86904012863535
S01 - T05  Click create pupil,1,587,587,587,587,587,0.0,1.7035775127768313,4.149142887563884
S03 - T04 - Click on Read Book,400,3674,3581,4666,1704,8819,0.0050,1.2946073132367126,1627.4014807627423
S01 - T06  Navigate to myclass,1,1336,1336,1336,1336,1336,0.0,0.7485029940119761,62.666658869760475
S01 - T07  Click on create class,1,508,508,508,508,508,0.0,1.968503937007874,2.9316098671259843
S01 - T08  Click on Y3/P4,1,430,430,430,430,430,0.0,2.3255813953488373,9.93595566860465
S02 - T04 Select class in allocation pop up,1,3867,3867,3867,3867,3867,0.0,0.2585983966899405,0.8664561514093613
S03 - T05 - Click on Next Page,400,2219,2030,2950,816,8869,0.0050,1.2868770710677864,926.7168215694672
S02 - T05 Click allocate button in popup,1,2144,2144,2144,2144,2144,0.0,0.4664179104477612,3.110515537546642
S01 - T09  Create class,1,2781,2781,2781,2781,2781,0.0,0.3595828838547285,57.10063825961884
S01 - T10  Logout,1,496,496,496,496,496,0.0,2.0161290322580645,24.321525327620968
S03 - T06 - Click on Bug Head - page 1,400,1665,1611,2299,485,6305,0.0,1.2827872401153226,675.5646293266008
S02 - T06 Click on my class tab,1,1482,1482,1482,1482,1482,0.0,0.6747638326585694,16.659550016869098
S02 - T07 Click student,1,462,462,462,462,462,0.0,2.1645021645021645,1.2661492153679652
S03 - T07 - Click on Back to  Book,400,290,218,468,0,1585,0.0050,1.2882323198165557,0.7554966759580423
S02 - T08 Click change link,1,724,724,724,724,724,0.0,1.3812154696132597,11.276329419889503
S03 - T08 - Click on Bug Head - page 2,400,2717,2535,3616,928,11893,0.0050,1.281217669272877,1101.7881050400301
S02 - T09 Select one book and click deallocate,1,3765,3765,3765,3765,3765,0.0,0.2656042496679947,3.942044322709163
S02 - T10 Logout,1,548,548,548,548,548,0.0,1.8248175182481752,8.211678832116787
S03 - T09 - Click on Back to Book,400,242,177,385,0,2017,0.0050,1.2955087948853312,0.7597640372426391
S03 - T10 - Click on Bug Head- page 3,400,2399,2284,3221,659,8416,0.0,1.2817637068606402,987.1320562093441
S03 - T11 - Click on Back to Book,400,221,144,381,0,4055,0.0050,1.290310093773286,0.7567152071915434
S03 - T12 - Click on Bug Head - page 4,400,2249,2112,2950,751,8254,0.0075,1.2807377049180326,852.4435856303231
S03 - T13 - Click on Back to Book,400,224,162,402,0,1800,0.0050,1.2875108231378571,0.7550735470440361
S03 - T14 - Click on Bug Head - page 5,400,2790,2619,3708,1004,9980,0.0050,1.2727301652958303,1077.9608532313425
S03 - T15 - Click on Back to Book,400,262,171,421,0,2611,0.0050,1.2837011672052863,0.7528393363746354
S03 - T16 - Click on Bug Head - page 6,400,2488,2300,3391,381,9103,0.0,1.2715689889754969,972.1343758593025
S03 - T17 - Click on Back to Book,400,233,173,374,0,1971,0.0050,1.2791404176393464,0.7501646393623486
S03 - T18 - Click on Bug Head - page 7,400,2314,2195,3131,464,8572,0.0025,1.2668852043644196,930.7443501126339
S03 - T19 - Click on Back to Book,400,211,164,341,0,1578,0.0050,1.2715083585780722,0.7456763252295867
S03 - T20 - Click on Close Book,400,544,484,726,125,2899,0.0050,1.2717711320670733,2.409258011959418
S03 - T21 - Click on Smiley,400,516,465,668,76,1850,0.0050,1.2713224614074177,0.7470198910317736
S03 - T22 - Click on Finish Button,400,1077,962,1489,825,2463,0.0,1.2697767732432639,3.447186635956586
S03 - T23 - Click on Books I have Read,400,615,534,876,411,1811,0.0,1.2713749920539064,2.251128345305448
S03 - T24 -Logout,400,632,561,829,476,3138,0.0,1.2711164215530502,5.72021630230644
TOTAL,9620,1265,755,2866,0,21812,0.0033264033264033266,20.810934177308294,6311.636662107064
